p_initial,total_mean,bethe,total_mode,landau_sigma
3.90322,0.00144537,0.00144017,0.00129694,9.56794e-05
3.94207,0.00144637,0.00144112,0.0012978,9.5678e-05
3.9813,0.00144737,0.00144207,0.00129865,9.56767e-05
4.02093,0.00144836,0.00144301,0.00129951,9.56754e-05
4.06095,0.00144936,0.00144395,0.00130037,9.56741e-05
4.10136,0.00145036,0.0014449,0.00130123,9.56728e-05
4.14218,0.00145135,0.00144584,0.00130208,9.56716e-05
4.18341,0.00145235,0.00144678,0.00130294,9.56703e-05
4.22505,0.00145335,0.00144772,0.00130379,9.56691e-05
4.2671,0.00145434,0.00144866,0.00130465,9.5668e-05
4.30957,0.00145534,0.0014496,0.0013055,9.56668e-05
4.35246,0.00145634,0.00145054,0.00130636,9.56657e-05
4.39578,0.00145733,0.00145148,0.00130721,9.56646e-05
4.43953,0.00145833,0.00145242,0.00130806,9.56635e-05
4.48371,0.00145932,0.00145335,0.00130891,9.56624e-05
4.52834,0.00146032,0.00145429,0.00130976,9.56614e-05
4.57341,0.00146131,0.00145522,0.00131061,9.56604e-05
4.61892,0.00146231,0.00145616,0.00131146,9.56594e-05
4.66489,0.0014633,0.00145709,0.00131231,9.56584e-05
